title,authors,publisher,subject,categories,maturityRating,page_count,average_rating,ratings_count,published_date,description,publish_year,page_count_scaled,publish_year_scaled,cluster_11,cluster_12,cluster
Napoleon,Paul Johnson,Viking Adult,biography,Biography & Autobiography,NOT_MATURE,216,0.0,0,2002-01-01,"With masterly eloquence, a bestselling historian offers a searching portrait of a man who shaped history and cast his shadow over two centuries.",2002,0.082220367278798,0.6849315068493134,2,2,4
Dictionary of Scientific Biography,Charles Coulston Gillispie,Unknown,biography,Biography,NOT_MATURE,664,0.0,0,1975-01-01,Also available online as part of the Gale Virtual Reference Library under the title Complete dictionary of scientific biography.,1975,0.26919866444073454,0.3150684931506831,2,11,4
Michael Oakeshott,Paul Franco,Yale University Press,biography,Political Science,NOT_MATURE,232,0.0,0,2004-01-01,"In this book Paul Franco provides an authoritative introduction to the life and thought of Michael Oakeshott, one of the most important philosophical voices of the twentieth century. After sketching a brief biography of Oakeshott, Franco then examines his most distinctive ideas, including his early idealist theory of knowledge, his influential critique of rationalism and central social planning, and his liberal theory of civil association. Though best known as a political philosopher, Oakeshott also made significant contributions to the philosophy of history, aesthetics, the philosophy of religion, and the philosophy of education. Franco highlights Oakeshott’s impressive achievements in each of these areas. His book is an essential introduction to the whole range of Oakeshott’s thought, and it sets the philosopher’s work in historical context while also demonstrating its relevance to contemporary debates in political philosophy.",2004,0.08889816360601002,0.7123287671232852,2,11,4
"Complete Historical Handbook of the Pulitzer Prize System, 1917-2000","Heinz Dietrich Fischer, Erika J. Fischer",K.G. Saur Verlag,biography,History,NOT_MATURE,1428,0.0,0,2003-01-01,"The School of Journalism at Columbia University has awarded the Pulitzer Prize since 1917. Nowadays there are prizes in 21 categories from the fields of journalism, literature and music. The Pulitzer Prize Archive presentsthe history of this award from its beginnings to the present: In parts A toE the awarding oftheprize in each category is documented, commented and arranged chronologically. Part F covers the history of the prize biographically and bibliographically. Part G provides the background to thedecisions.",2003,0.5880634390651086,0.6986301369862993,2,11,4
Mark Twain,Ron Powers,Simon and Schuster,biography,Biography & Autobiography,NOT_MATURE,737,4.0,5,2005-01-01,"In the most important narrative biography of Samuel Langhorne Clemens in half a century, a Pulitzer-Prize winner brings to life the astonishing man behind one of America's most famous sons.",2005,0.29966611018363937,0.7260273972602711,2,2,4
Rachmaninoff,Barrie Martyn,Routledge,biography,Biography & Autobiography,NOT_MATURE,650,0.0,0,1990-01-01,"""Rachmaninoff was not only an important composer and one of the very greatest pianists of his time but also, for a period at least, his country's most notable conductor. This study considers all three careers in detail. Barrie Martyn examines each of Rachmaninoff's works in chronological order, analyses his remarkable style of playing and surveys his activities as a conductor. There are extensive references to Russian sources and the first appearance of a complete Rachmaninoff discography is included. This book is the only comprehensive study in any language of the three aspects of Rachmaninoff's musical career.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",1990,0.26335559265442404,0.5205479452054789,2,2,4
Women on the Margins,Natalie Zemon Davis,Harvard University Press,biography,Biography & Autobiography,NOT_MATURE,402,5.0,1,1995-01-01,"Maria Sibylla Merian, a German painter and naturalist, produced an innovative work on tropical insects based on lore she gathered from the Carib, Arawak, and African women of Suriname.",1995,0.15984974958263773,0.5890410958904084,2,2,4
How to Say Babylon,Safiya Sinclair,Simon and Schuster,biography,Biography & Autobiography,NOT_MATURE,352,0.0,0,2023-10-03,"National Book Critics Circle Award Winner A New York Times Notable Book A Read with Jenna Today Show Book Club Pick! A Best Book of 2023 by the New York Times, Time, The Washington Post, Vulture, Shelf Awareness, Goodreads, Esquire, The Atlantic, NPR, and Barack Obama With echoes of Educated and Born a Crime, How to Say Babylon is the stunning story of the author’s struggle to break free of her rigid Rastafarian upbringing, ruled by her father’s strict patriarchal views and repressive control of her childhood, to find her own voice as a woman and poet. Throughout her childhood, Safiya Sinclair’s father, a volatile reggae musician and militant adherent to a strict sect of Rastafari, became obsessed with her purity, in particular, with the threat of what Rastas call Babylon, the immoral and corrupting influences of the Western world outside their home. He worried that womanhood would make Safiya and her sisters morally weak and impure, and believed a woman’s highest virtue was her obedience. In an effort to keep Babylon outside the gate, he forbade almost everything. In place of pants, the women in her family were made to wear long skirts and dresses to cover their arms and legs, head wraps to cover their hair, no make-up, no jewelry, no opinions, no friends. Safiya’s mother, while loyal to her father, nonetheless gave Safiya and her siblings the gift of books, including poetry, to which Safiya latched on for dear life. And as Safiya watched her mother struggle voicelessly for years under housework and the rigidity of her father’s beliefs, she increasingly used her education as a sharp tool with which to find her voice and break free. Inevitably, with her rebellion comes clashes with her father, whose rage and paranoia explodes in increasing violence. As Safiya’s voice grows, lyrically and poetically, a collision course is set between them. How to Say Babylon is Sinclair’s reckoning with the culture that initially nourished but ultimately sought to silence her; it is her reckoning with patriarchy and tradition, and the legacy of colonialism in Jamaica. Rich in lyricism and language only a poet could evoke, How to Say Babylon is both a universal story of a woman finding her own power and a unique glimpse into a rarefied world we may know how to name, Rastafari, but one we know little about.",2023,0.13898163606010017,0.9726027397260246,2,2,4
John Calvin,William James Bouwsma,"Oxford University Press, USA",biography,Biography & Autobiography,NOT_MATURE,328,0.0,0,1988-01-01,Bousma sketches a deeply psychological portrait of the great reformer. Copyright © Libri GmbH. All rights reserved.,1988,0.12896494156928215,0.4931506849315035,2,2,4
Flights of Passage,Samuel Hynes,Unknown,biography,History,NOT_MATURE,280,0.0,0,1988-01-01,"Samuel Hynes served as a consultant on ""The War,"" directed and produced by Ken Burns and Lynn Novick, and appears on camera in several episodes. ""The War"" is a seven-part, 14-hour documentary series that debuts on PBS on Sunday, September 23, 2007. Sam Hynes was eighteen when he left his Minnesota home for navy flight school in 1943. By the time the war ended he was a veteran Marine pilot, still not quite twenty-one, and had flown more than a hundred missions in the Pacific theater. In this eloquent narrative, by turns dramatic, funny, and elegiac, Hynes recalls those extraordinary years during which he came of age. he makes real the places--the training fields and the liberty towns and the Pacific islands, and the people--the other young pilots, the girls and the young wives, even the enemy pilots. He remembers friendship, and the excitement and tedium of war, the high exhilaration of flying, and the dying. More than a tale of combat, ""Flight of Passage"" is a story of one boy's growth to manhood in the turbulent, testing world of war in the air.",1988,0.10893155258764609,0.4931506849315035,2,11,4
The Warrior Queens,Antonia Fraser,Knopf Publishing Group,biography,Biography & Autobiography,NOT_MATURE,432,4.0,3,1989-01-01,"From bestselling biographer and historian Antonia Fraser comes a study of the legend of the Warrior Queens--from the first century A.D. Briton, Boudica, to the 20th century triumvirate of Indira Gandhi, Golda Meir, and Margaret Thatcher. 24 page of illustrations.",1989,0.17237061769616027,0.506849315068493,2,2,4
